timestamp,experiment,method,image_pair,condition,num_kp_img1,num_kp_img2,desc_dim_img1,desc_dtype,num_raw_matches,num_good_matches,num_ransac_inliers,num_ransac_outliers,inlier_ratio,time_feat_s,time_match_s,time_ransac_s,reprojection_error_px,homography_success,failure_reason,panorama_w,panorama_h,pano_valid_ratio,pano_lap_variance,time_total_s,ratio_threshold,ransac_threshold,rotation_angle_deg,scale_factor,viewpoint_level,viewpoint_offset_px,illumination_tag,brightness_delta,contrast_factor,illumination_type
2026-08-28T02:39:27.502498+00:00,viewpoint,SIFT,ref-viewpoint_mild,mild,1253,1754,128,float32,1253,834,781,53,0.9365,0.2074,0.0157,0.0008,0.207,True,,750,600,0.9581,1755.39,5.1649,0.75,5.0,,,mild,15,,,,
2026-08-28T02:39:32.408271+00:00,viewpoint,SIFT,ref-viewpoint_moderate,moderate,1253,1630,128,float32,1253,757,675,82,0.8917,0.2053,0.015,0.0008,0.255,True,,750,600,0.8856,1779.14,4.8983,0.75,5.0,,,moderate,40,,,,
2026-08-28T02:39:37.064253+00:00,viewpoint,SIFT,ref-viewpoint_extreme,extreme,1253,1479,128,float32,1253,608,540,68,0.8882,0.2058,0.0141,0.0008,0.362,True,,750,600,0.7756,1739.24,4.6382,0.75,5.0,,,extreme,80,,,,
2026-08-28T02:39:41.494786+00:00,viewpoint,ORB,ref-viewpoint_mild,mild,1000,1000,32,uint8,607,607,532,75,0.8764,0.0308,0.0106,0.0008,0.947,True,,752,601,0.9545,1686.01,4.43,0.75,5.0,,,mild,15,,,,
2026-08-28T02:39:45.884670+00:00,viewpoint,ORB,ref-viewpoint_moderate,moderate,1000,1000,32,uint8,558,558,474,84,0.8495,0.0265,0.0106,0.0009,0.942,True,,750,600,0.8856,1779.14,4.3699,0.75,5.0,,,moderate,40,,,,
2026-08-28T02:39:50.453093+00:00,viewpoint,ORB,ref-viewpoint_extreme,extreme,1000,1000,32,uint8,445,445,365,80,0.8202,0.0284,0.0104,0.0008,1.024,True,,753,601,0.7717,1561.18,4.5651,0.75,5.0,,,extreme,80,,,,
