timestamp,experiment,method,image_pair,condition,num_kp_img1,num_kp_img2,desc_dim_img1,desc_dtype,num_raw_matches,num_good_matches,num_ransac_inliers,num_ransac_outliers,inlier_ratio,time_feat_s,time_match_s,time_ransac_s,reprojection_error_px,homography_success,failure_reason,panorama_w,panorama_h,pano_valid_ratio,pano_lap_variance,time_total_s,ratio_threshold,ransac_threshold,rotation_angle_deg,scale_factor,viewpoint_level,viewpoint_offset_px,illumination_tag,brightness_delta,contrast_factor,illumination_type
2026-08-28T02:42:12.779442+00:00,pipeline_run,SIFT,img1-img2,cli,1253,1099,128,float32,1253,309,178,131,0.5761,0.1955,0.0134,0.0019,0.165,True,,0,0,,,3.3113,0.75,5.0,,,,,,,,
2026-08-28T02:42:43.569406+00:00,pipeline_run,SIFT,img1-img2,cli,1253,1099,128,float32,1253,309,178,131,0.5761,0.1978,0.0117,0.0019,0.165,True,,1276,618,0.9794,3333.21,4.9422,0.75,5.0,,,,,,,,
2026-08-28T02:42:48.666069+00:00,pipeline_run,SIFT,img2-img3,cli,1099,1141,128,float32,1099,371,224,147,0.6038,0.1893,0.0114,0.0015,0.132,True,,1276,606,0.9851,2802.8,5.0817,0.75,5.0,,,,,,,,
